nClicks,Duration,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,CodaType,,,,,,,,,,
3,0.18969999999999998,0.087,0.1027,0,0,0,0,0,0,0,3R,,,,,,,,,,
3,0.374,0.211,0.163,0,0,0,0,0,0,0,3D,,,,,,,,,,
4,1.0514,0.2426,0.2736,0.5352,0,0,0,0,0,0,3+1,,,,,,,,,,
4,0.208,0.063,0.062,0.083,0,0,0,0,0,0,4R1,,,,,,,,,,
4,0.882,0.303,0.288,0.291,0,0,0,0,0,0,4R2,,,,,,,,,,
4,0.753,0.385,0.198,0.17,0,0,0,0,0,0,1+31,,,,,,,,,,
4,0.4642,0.2453,0.119,0.0999,0,0,0,0,0,0,1+32,,,,,,,,,,
4,0.511,0.222,0.162,0.127,0,0,0,0,0,0,4D,,,,,,,,,,
5,0.339,0.09,0.077,0.076,0.096,0,0,0,0,0,5R1,,,,,,,,,,
5,0.5409,0.1139,0.1472,0.1303,0.1495,0,0,0,0,0,5R2,,,,,,,,,,
5,1.188,0.293,0.282,0.298,0.315,0,0,0,0,0,5R3,,,,,,,,,,
5,0.631,0.084,0.169,0.193,0.185,0,0,0,0,0,2+3,,,,,,,,,,
5,0.86,0.288,0.262,0.17,0.14,0,0,0,0,0,1+1+3,,,,,,,,,,
6,0.359,0.073,0.072,0.063,0.065,0.086,0,0,0,0,6i,,,,,,,,,,
6,1.1681,0.2386,0.2017,0.1911,0.2384,0.2983,0,0,0,0,6R,,,,,,,,,,
7,0.392,0.05,0.058,0.063,0.06,0.063,0.098,0,0,0,7i,,,,,,,,,,
7,0.907,0.215,0.189,0.142,0.11,0.118,0.133,0,0,0,7D1,,,,,,,,,,
7,1.407,0.425,0.356,0.063,0.117,0.219,0.227,0,0,0,7D2,,,,,,,,,,
7,1.5403,0.2703,0.2505,0.2511,0.2578,0.2434,0.2672,0,0,0,7R,,,,,,,,,,
8,0.367,0.044,0.05,0.051,0.051,0.048,0.055,0.068,0,0,8i,,,,,,,,,,
8,1.061,0.246,0.183,0.131,0.096,0.101,0.122,0.182,0,0,8R,,,,,,,,,,
8,1.56,0.416,0.3853,0.1406,0.1402,0.1534,0.1561,0.1684,0,0,8D,,,,,,,,,,
9,1.079,0.168,0.187,0.118,0.09,0.107,0.113,0.096,0.2,0,9R,,,,,,,,,,2+3
9,0.973,0.167,0.21,0.122,0.089,0.08,0.082,0.088,0.135,0,9i,,,,,,,,,,
10,0.386,0.028,0.031,0.035,0.036,0.036,0.037,0.039,0.048,0.096,10i,,,,,,,,,,
10,1.6265,0.2414,0.185,0.1705,0.1563,0.1537,0.1494,0.1536,0.1588,0.2578,10R,,,,,,,,,,
